candidate_id,rank,score,reasoning
CAND_000299,1,0.41782877928655543,"Strong Senior ML Engineer background. 5.0 years experience — within ideal range. Skills spanning ML/DL frameworks, NLP and language models, and data engineering. Recent activity and strong engagement signals indicate high availability. Concern: Profile sections show inconsistency."
CAND_000082,2,0.4102514930362242,"Strong Senior ML Engineer background. 8.4 years experience — within ideal range. Skills spanning ML/DL frameworks, NLP and language models, and data engineering. Recent activity and strong engagement signals indicate high availability. Concern: Profile sections show inconsistency."
CAND_000809,3,0.40848345138154785,"Strong ML Platform Engineer background. 8.7 years experience — within ideal range. Skills spanning ML/DL frameworks, NLP and language models, and data engineering. Recent activity and strong engagement signals indicate high availability. Concern: Profile sections show inconsistency."
CAND_000802,4,0.4084126642024881,"Strong AI Research Engineer background. 9.1 years experience — senior-level depth. Skills spanning ML/DL frameworks, NLP and language models, and data engineering. Recent activity and strong engagement signals indicate high availability. Concern: Profile sections show inconsistency."
CAND_001838,5,0.4076037372928556,"Strong AI Research Engineer background. 6.4 years experience — within ideal range. Skills spanning ML/DL frameworks, NLP and language models, and data engineering. Recent activity and strong engagement signals indicate high availability. Concern: Profile sections show inconsistency."
CAND_000263,6,0.4062103753134542,"Strong Deep Learning Engineer background. 7.9 years experience — within ideal range. Skills spanning ML/DL frameworks, NLP and language models, and data engineering. Recent activity and strong engagement signals indicate high availability. Concern: Profile sections show inconsistency."
CAND_000745,7,0.405154414388061,"Strong Senior ML Engineer background. 4.1 years experience — approaching target range. Skills spanning ML/DL frameworks, NLP and language models, and data engineering. Recent activity and strong engagement signals indicate high availability. Concern: Profile sections show inconsistency."
CAND_001689,8,0.40207692681126445,"Strong Machine Learning Engineer background. 5.8 years experience — within ideal range. Skills spanning ML/DL frameworks, NLP and language models, and data engineering. Recent activity and strong engagement signals indicate high availability. Concern: Profile sections show inconsistency."
CAND_001606,9,0.3993790861000675,"Strong Senior ML Engineer background. 4.2 years experience — approaching target range. Skills spanning ML/DL frameworks, NLP and language models, and data engineering. Recent activity and strong engagement signals indicate high availability. Concern: Profile sections show inconsistency."
CAND_001243,10,0.3961925165128818,"Strong Senior ML Engineer background. 6.2 years experience — within ideal range. Skills spanning ML/DL frameworks, NLP and language models, and data engineering. Recent activity and strong engagement signals indicate high availability. Concern: Profile sections show inconsistency."
CAND_001898,11,0.3950358140960956,"Strong ML Platform Engineer background. 7.3 years experience — within ideal range. Skills spanning ML/DL frameworks, NLP and language models, and data engineering. Recent activity and strong engagement signals indicate high availability. Concern: Profile sections show inconsistency."
CAND_000549,12,0.39331709416694244,"Strong ML Platform Engineer background. 9.9 years experience — senior-level depth. Skills spanning ML/DL frameworks, NLP and language models, and data engineering. Recent activity and strong engagement signals indicate high availability. Concern: Profile sections show inconsistency."
CAND_000787,13,0.39147023143669585,"Strong Machine Learning Engineer background. 4.3 years experience — approaching target range. Skills spanning ML/DL frameworks, NLP and language models, and data engineering. Recent activity and strong engagement signals indicate high availability. Concern: Profile sections show inconsistency."
CAND_000821,14,0.3886203578250555,"Strong Machine Learning Engineer background. 4.2 years experience — approaching target range. Skills spanning ML/DL frameworks, NLP and language models, and data engineering. Recent activity and strong engagement signals indicate high availability. Concern: Profile sections show inconsistency."
CAND_000629,15,0.3866842838646763,"Strong Senior Data Scientist background. 5.5 years experience — within ideal range. Skills spanning ML/DL frameworks, NLP and language models, and data engineering. Moderate engagement signals suggest availability. Concern: Profile sections show inconsistency."
